Change Component DesignItemId : Designator=U20 Old DesignItemId=CMP-14350-000011-1 New DesignItemId=CD4016B
Change Component Library : Designator=U20 Old Library=Rotary Encoder.SchLib New Library=Custom-IC.IntLib
Change component parameters: Designator = "FB10" ("FB10"); Footprint = "FER 0603_1608"; UniqueID = "\WOJINBSZ\KUZIMNRH" ("\WOJINBSZ\KUZIMNRH")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://productfinder.pulseeng.com/doc_type/WEB301/doc_num/WC706/doc_part/WC706.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/pulse-electronics-network/PE-0603PFB121ST/5050544"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Max)"; Value = "2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR) (Max)"; Value = "50mOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Filter Type"; Value = "Power Line"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height (Max)"; Value = "0.041" (1.05mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance @ Frequency"; Value = "120 Ohms @ 100 MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "19-09-2022 13:44:01"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Pulse Electronics Network"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Lines"; Value = "1"; VariantName = "[No Variations]"
